,ENR
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.013377926421404451
Growth 1yr High Est,0.045454545454545414
Growth 1yr Consensus Est,0.029416235937974933
Growth 2yr Low Est,0.056193913705751775
Growth 2yr High Est,0.10657820440429122
Growth 2yr Consensus Est,0.0813860590550215
Growth 5yr Low Est,0.0034285751031338427
Growth 5yr High Est,0.019770084987476195
Growth 5yr Consensus Est,0.01159933004530502
Growth 5yr Actual/Est,0.12743940297201886
Growth 3yr Historic,0.0978877444394686
