,ENR
Price/Earnings (TTM),
Price/Sales (TTM),0.77203
Price/Book (MRQ),18.02477
Price/Cash Flow (TTM),
5yr Low,24.81
5yr High,65.57
5yr Avg Return,-0.043899999999999995
EPS Growth 5yr,
Revenue Growth 5yr,0.1167932
Dividend Growth 5yr,0.0175546
Short Int Current Month,4851922.0
Short Int Prev Month,5093355.0
Short Int Pct of Float,0.0685797
Days to Cover,7.35705
Float,70.76491
Shares Outstanding,71.29204
Institutions Holding Shares,321.0
% Held by Institutions,0.8794289999999999
FCF Growth 5yr,0.21810049759799435
