,SAVE
% Above Low,0.3354
% Held by Institutions,0.6504000000000001
52-Wk Range,['15.92 - 28.30']
Annual Dividend $,
Annual Dividend %,
Ask,21.27
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.1
Bid,21.25
Bid Size,100.0
Day Change $,-0.46
Day Change %,-0.0212
Day High,21.65
Day Low,21.18
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.41
Ex-dividend Date,No dividend
Historical Volatility,0.596
Last (size),100.0
Last (time),1:39p ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,21.72
Price,21.26
Shares Outstanding,108.9M
Short Interest,0.09539999999999998
Today's Open,21.53
Volume Past Day,(Light)
