,SAVE
Price/Earnings (TTM),
Price/Sales (TTM),0.50687
Price/Book (MRQ),1.28514
Price/Cash Flow (TTM),
5yr Low,7.01
5yr High,65.35
5yr Avg Return,-0.06753333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0684715
Dividend Growth 5yr,
Short Int Current Month,10337301.0
Short Int Prev Month,11013925.0
Short Int Pct of Float,0.0953894
Days to Cover,14.08108
Float,108.3956
Shares Outstanding,108.8572
Institutions Holding Shares,288.0
% Held by Institutions,0.650389
FCF Growth 5yr,4.670747347643794
