,SAVE
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.5720430107526882
Growth 1yr High Est,-0.5511811023622047
Growth 1yr Consensus Est,-0.5616120565574465
Growth 2yr Low Est,-0.6101421083914195
Growth 2yr High Est,-1.272666574572915
Growth 2yr Consensus Est,-0.9414043414821673
Growth 5yr Low Est,-1.115348313104987
Growth 5yr High Est,-1.4049452844182233
Growth 5yr Consensus Est,-1.260146798761605
Growth 5yr Actual/Est,-1.2821142765469657
Growth 3yr Historic,-0.7926821922378322
