,FLS
Price/Earnings (TTM),49.54842
Price/Sales (TTM),1.18559
Price/Book (MRQ),2.4956
Price/Cash Flow (TTM),22.44553
5yr Low,18.98
5yr High,56.86
5yr Avg Return,-0.016649999999999998
EPS Growth 5yr,-0.0098547
Revenue Growth 5yr,-0.0236141
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,4035946.0
Short Int Prev Month,4153316.0
Short Int Pct of Float,0.0309998
Days to Cover,2.5268
Float,130.242
Shares Outstanding,130.6959
Institutions Holding Shares,352.0
% Held by Institutions,1.0736759999999999
FCF Growth 5yr,0.26571877030987506
