,FLS
% Below High,0.1564
% Held by Institutions,1.0737
52-Wk Range,['23.89 - 37.59']
Annual Dividend $,0.8
Annual Dividend %,0.0252
Ask,35.1
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,23.23
Bid Size,100.0
Closing Price,31.71
Day Change $,0.09
Day Change %,0.0028000000000000004
Day High,31.92
Day Low,31.62
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",0.64
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.358
Last (size),767.0
Last (time),5:00p ET 11/25/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",49.55
Prev Close,31.62
Shares Outstanding,130.7M
Short Interest,0.031
Today's Open,31.75
Volume,238232.0
Volume 10-day Avg,810900.0
Volume Past Day,(Light)
