,SIBN
% Above Low,0.059800000000000006
% Held by Institutions,1.0311
52-Wk Range,['11.21 - 23.71']
Annual Dividend $,
Annual Dividend %,
Ask,11.88
Ask Size,700.0
B/A Ratio,0.7142857142857143
B/A Size,500x700
Beta,1.0
Bid,11.8
Bid Size,500.0
Day Change $,-0.31
Day Change %,-0.0254
Day High,12.02
Day Low,11.46
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.9
Ex-dividend Date,No dividend
Historical Volatility,0.6970000000000001
Last (size),8.0
Last (time),2:16p ET 11/28/22
Market Cap,409.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.19
Price,11.88
Shares Outstanding,34.5M
Short Interest,0.0454
Today's Open,12.02
Volume Past Day,(Light)
