,SIBN
Price/Earnings (TTM),
Price/Sales (TTM),4.21835
Price/Book (MRQ),4.08269
Price/Cash Flow (TTM),
5yr Low,7.2
5yr High,37.21
5yr Avg Return,-0.0633
EPS Growth 5yr,
Revenue Growth 5yr,0.1644922
Dividend Growth 5yr,
Short Int Current Month,1536772.0
Short Int Prev Month,1777505.0
Short Int Pct of Float,0.0454488
Days to Cover,5.60195
Float,33.87011
Shares Outstanding,34.49634
Institutions Holding Shares,169.0
% Held by Institutions,1.031072
FCF Growth 5yr,0.24005698433944178
