,CLBK
% Below High,0.0429
% Held by Institutions,0.13970000000000002
52-Wk Range,['18.07 - 22.86']
Annual Dividend $,
Annual Dividend %,
Ask,34.48
Ask Size,1000.0
B/A Ratio,1.0
B/A Size,1000x1000
Beta,0.3
Bid,20.08
Bid Size,1000.0
Closing Price,21.88
Day Change $,0.09
Day Change %,0.0040999999999999995
Day High,21.99
Day Low,21.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.83
Ex-dividend Date,No dividend
Historical Volatility,0.292
Last (size),16.0
Last (time),12:59p ET 11/25/22
Market Cap,2.4B
"P/E Ratio (TTM, GAAP)",26.28
Prev Close,21.79
Shares Outstanding,109.6M
Short Interest,0.0345
Today's Open,21.86
Volume,45829.0
Volume 10-day Avg,108147.0
Volume Past Day,(Light)
