,PSN
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.07547169811320753
Growth 1yr High Est,0.1352941176470588
Growth 1yr Consensus Est,0.10538290788013316
Growth 2yr Low Est,0.12545514730221774
Growth 2yr High Est,0.2282688204815605
Growth 2yr Consensus Est,0.17686198389188912
Growth 5yr Low Est,0.1644974851555337
Growth 5yr High Est,0.14559136388316435
Growth 5yr Consensus Est,0.15504442451934902
Growth 5yr Actual/Est,0.18824924863880413
Growth 3yr Historic,0.11179619349722439
