,PSN
Price/Earnings (TTM),56.78654
Price/Sales (TTM),1.2532
Price/Book (MRQ),2.5933
Price/Cash Flow (TTM),19.89214
5yr Low,24.67
5yr High,50.15
5yr Avg Return,0.1493
EPS Growth 5yr,
Revenue Growth 5yr,0.0379177
Dividend Growth 5yr,
Short Int Current Month,3527703.0
Short Int Prev Month,3267280.0
Short Int Pct of Float,0.0343483
Days to Cover,5.95711
Float,102.7478
Shares Outstanding,103.5029
Institutions Holding Shares,247.0
% Held by Institutions,0.9778180000000001
FCF Growth 5yr,2.4641217797283073
