,INSM
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.08515815085158163
Growth 1yr High Est,-0.05494505494505497
Growth 1yr Consensus Est,-0.0700516028983183
Growth 2yr Low Est,0.1595485841486774
Growth 2yr High Est,-0.05654229491438789
Growth 2yr Consensus Est,0.05150314461714475
Growth 5yr Low Est,0.16016014416437088
Growth 5yr High Est,0.061281091348776184
Growth 5yr Consensus Est,0.11072061775657353
Growth 5yr Actual/Est,0.07235218657920794
Growth 3yr Historic,0.07225913621262459
