,INSM
% Above Low,0.1219
% Held by Institutions,0.9587
52-Wk Range,['16.41 - 30.49']
Annual Dividend $,
Annual Dividend %,
Ask,28.7
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,1.6
Bid,17.8
Bid Size,600.0
Closing Price,18.41
Day Change $,0.04
Day Change %,0.0022
Day High,18.68
Day Low,18.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.63
Ex-dividend Date,No dividend
Historical Volatility,0.6020000000000001
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,18.37
Shares Outstanding,135.5M
Short Interest,0.0557
Today's Open,18.22
Volume,378152.0
Volume 10-day Avg,1239064.0
Volume Past Day,(Light)
