,INSM
Price/Earnings (TTM),
Price/Sales (TTM),10.29857
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,11.31
5yr High,45.44
5yr Avg Return,0.026016666666666653
Short Int Current Month,7433832.0
Short Int Prev Month,7758334.0
Short Int Pct of Float,0.055678099999999994
Days to Cover,4.80609
Float,133.5282
Shares Outstanding,135.4768
Institutions Holding Shares,317.0
% Held by Institutions,0.958706
FCF Growth 5yr,0.23167530076364495
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
