,PTRA
Price/Earnings (TTM),
Price/Sales (TTM),4.40828
Price/Book (MRQ),2.23043
Price/Cash Flow (TTM),
5yr Low,4.26
5yr High,31.06
5yr Avg Return,-0.14916666666666667
Short Int Current Month,10930433.0
Short Int Prev Month,11967769.0
Short Int Pct of Float,0.0523046
Days to Cover,7.67092
Float,220.5498
Shares Outstanding,225.5488
Institutions Holding Shares,230.0
% Held by Institutions,0.6914919999999999
FCF Growth 5yr,0.4805391890917783
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
