,PTRA
% Above Low,0.2899
% Held by Institutions,0.6915
52-Wk Range,['4.26 - 11.78']
Annual Dividend $,
Annual Dividend %,
Ask,5.5
Ask Size,800.0
B/A Ratio,0.875
B/A Size,700x800
Beta,
Bid,5.49
Bid Size,700.0
Day Change $,-0.325
Day Change %,-0.0558
Day High,5.82
Day Low,5.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.07
Ex-dividend Date,No dividend
Historical Volatility,0.745
Last (size),100.0
Last (time),11:51a ET 11/28/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,5.82
Price,5.5
Shares Outstanding,225.5M
Short Interest,0.052300000000000006
Today's Open,5.79
Volume Past Day,(Light)
