,CTRN
Next Earnings Announcement,2022-11-29 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.8545994065281899
Growth 1yr High Est,-0.8379562043795621
Growth 1yr Consensus Est,-0.846277805453876
Growth 2yr Low Est,-0.15178949918246232
Growth 2yr High Est,0.12156243835075953
Growth 2yr Consensus Est,-0.015113530415851395
Growth 5yr Low Est,0.555194665743263
Growth 5yr High Est,0.727679679930549
Growth 5yr Consensus Est,0.641437172836906
Growth 5yr Actual/Est,0.7152227584315162
Growth 3yr Historic,0.6594827586206898
