,CTRN
% Above Low,0.5375
% Held by Institutions,0.9036
52-Wk Range,['15.48 - 97.14']
Annual Dividend $,
Annual Dividend %,
Ask,29.44
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,2.1
Bid,20.3
Bid Size,200.0
Closing Price,23.8
Day Change $,0.67
Day Change %,0.028999999999999998
Day High,23.9
Day Low,22.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.46
Ex-dividend Date,No dividend
Historical Volatility,0.828
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,199.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.36
Prev Close,23.13
Shares Outstanding,8.4M
Short Interest,0.1107
Today's Open,23.01
Volume,78013.0
Volume 10-day Avg,138228.0
Volume Past Day,(Light)
