,FCEL
% Above Low,0.2563
% Held by Institutions,0.4228
52-Wk Range,['2.77 - 9.31']
Annual Dividend $,
Annual Dividend %,
Ask,3.48
Ask Size,3000.0
B/A Ratio,0.8666666666666667
B/A Size,2600x3000
Beta,3.6
Bid,3.46
Bid Size,2600.0
Closing Price,3.48
Day Change $,-0.02
Day Change %,-0.005699999999999999
Day High,3.5
Day Low,3.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.34
Ex-dividend Date,No dividend
Historical Volatility,0.861
Last (size),1800.0
Last (time),1:00p ET 11/25/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,3.5
Shares Outstanding,405.6M
Short Interest,0.1159
Today's Open,3.46
Volume,2619825.0
Volume 10-day Avg,8975403.0
Volume Past Day,(Light)
