,FCEL
Next Earnings Announcement,2022-12-28 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.1470588235294119
Growth 2yr High Est,-0.375
Growth 2yr Consensus Est,-0.26102941176470595
Growth 5yr Low Est,-0.1470588235294119
Growth 5yr High Est,-0.375
Growth 5yr Consensus Est,-0.26102941176470595
Growth 5yr Actual/Est,-0.309072249589491
Growth 3yr Historic,-0.24901477832512314
