,FCEL
Price/Earnings (TTM),
Price/Sales (TTM),13.41367
Price/Book (MRQ),1.98926
Price/Cash Flow (TTM),
5yr Low,0.134
5yr High,29.44
5yr Avg Return,0.14504999999999998
EPS Growth 5yr,
Revenue Growth 5yr,-0.0845894
Dividend Growth 5yr,
Short Int Current Month,46905561.0
Short Int Prev Month,51639749.0
Short Int Pct of Float,0.11585150000000001
Days to Cover,4.48967
Float,405.3101
Shares Outstanding,405.563
Institutions Holding Shares,335.0
% Held by Institutions,0.422821
FCF Growth 5yr,
