,SSTK
Price/Earnings (TTM),22.53749
Price/Sales (TTM),2.31383
Price/Book (MRQ),4.38357
Price/Cash Flow (TTM),12.4985
5yr Low,28.76
5yr High,128.36
5yr Avg Return,0.11653333333333334
EPS Growth 5yr,0.22022860000000002
Revenue Growth 5yr,0.0936577
Dividend Growth 5yr,
Short Int Current Month,2163493.0
Short Int Prev Month,2299935.0
Short Int Pct of Float,0.09115259999999999
Days to Cover,7.9357
Float,23.73485
Shares Outstanding,35.81505
Institutions Holding Shares,302.0
% Held by Institutions,0.687484
FCF Growth 5yr,0.7404494276777852
