,SSTK
% Above Low,0.1435
% Held by Institutions,0.6875
52-Wk Range,['44.61 - 116.70']
Annual Dividend $,0.96
Annual Dividend %,0.0182
Ask,51.04
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,50.98
Bid Size,100.0
Day Change $,-1.7
Day Change %,-0.0323
Day High,52.02
Day Low,50.62
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.34
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.49100000000000005
Last (size),100.0
Last (time),3:22p ET 11/28/22
Market Cap,1.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.54
Prev Close,52.71
Price,51.01
Shares Outstanding,35.8M
Short Interest,0.09119999999999999
Today's Open,51.17
Volume Past Day,(Above Average)
