,AXON
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.9595959595959596
Growth 1yr High Est,0.9351851851851849
Growth 1yr Consensus Est,0.9473905723905722
Growth 2yr Low Est,0.5700041653649901
Growth 2yr High Est,0.6972576643629274
Growth 2yr Consensus Est,0.6336309148639587
Growth 5yr Low Est,0.28500208268249505
Growth 5yr High Est,0.3486288321814637
Growth 5yr Consensus Est,0.31681545743197936
Growth 5yr Actual/Est,0.3011977466520783
Growth 3yr Historic,0.25968178920526985
