,AXON
Price/Earnings (TTM),130.8699
Price/Sales (TTM),12.4825
Price/Book (MRQ),10.859
Price/Cash Flow (TTM),104.5605
5yr Low,23.82
5yr High,212.37
5yr Avg Return,0.4282333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.2633805
Dividend Growth 5yr,
Short Int Current Month,2289021.0
Short Int Prev Month,1852984.0
Short Int Pct of Float,0.0339401
Days to Cover,2.89374
Float,67.43018
Shares Outstanding,71.16535
Institutions Holding Shares,521.0
% Held by Institutions,0.784276
FCF Growth 5yr,0.1326393062146358
