,AXON
% Below High,0.030600000000000002
% Held by Institutions,0.7843000000000001
52-Wk Range,['82.49 - 193.85']
Annual Dividend $,
Annual Dividend %,
Ask,188.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,181.87
Bid Size,100.0
Closing Price,187.92
Day Change $,0.17
Day Change %,0.0009
Day High,188.28
Day Low,185.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.44
Ex-dividend Date,No dividend
Historical Volatility,0.534
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,13.4B
"P/E Ratio (TTM, GAAP)",130.87
Prev Close,187.75
Shares Outstanding,71.2M
Short Interest,0.0339
Today's Open,187.37
Volume,266017.0
Volume 10-day Avg,597837.0
Volume Past Day,(Light)
