,LQDA
Price/Earnings (TTM),
Price/Sales (TTM),23.3379
Price/Book (MRQ),3.38466
Price/Cash Flow (TTM),
5yr Low,2.25
5yr High,38.46
5yr Avg Return,0.054580000000000004
EPS Growth 5yr,
Revenue Growth 5yr,-0.0055642
Dividend Growth 5yr,
Short Int Current Month,2550166.0
Short Int Prev Month,3423367.0
Short Int Pct of Float,0.0461933
Days to Cover,6.22048
Float,55.25521
Shares Outstanding,64.49495
Institutions Holding Shares,113.0
% Held by Institutions,0.466878
FCF Growth 5yr,0.15700008112583616
