,LQDA
% Above Low,0.5307000000000001
% Held by Institutions,0.4669
52-Wk Range,['3.26 - 8.79']
Annual Dividend $,
Annual Dividend %,
Ask,5.32
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,0.2
Bid,4.82
Bid Size,500.0
Closing Price,4.99
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.82
Ex-dividend Date,No dividend
Historical Volatility,1.034
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,321.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.99
Shares Outstanding,64.5M
Short Interest,0.0462
Today's Open,
Volume,119164.0
Volume 10-day Avg,352003.0
Volume Past Day,(Light)
