,V
Price/Earnings (TTM),30.53545
Price/Sales (TTM),13.73839
Price/Book (MRQ),13.32346
Price/Cash Flow (TTM),25.45659
5yr Low,106.6
5yr High,252.67
5yr Avg Return,0.11881666666666668
EPS Growth 5yr,0.2014554
Revenue Growth 5yr,0.0980904
Dividend Growth 5yr,0.17844539999999998
Short Int Current Month,39821649.0
Short Int Prev Month,37663220.0
Short Int Pct of Float,0.0244924
Days to Cover,5.23525
Float,1429.545
Shares Outstanding,1883.495
Institutions Holding Shares,4218.0
% Held by Institutions,0.93686
FCF Growth 5yr,0.6455529679754176
