,V
% Below High,0.1043
% Held by Institutions,0.9369
52-Wk Range,['174.60 - 235.85']
Annual Dividend $,1.8
Annual Dividend %,0.0084
Ask,211.89
Ask Size,500.0
B/A Ratio,2.0
B/A Size,1000x500
Beta,1.0
Bid,211.27
Bid Size,1000.0
Closing Price,211.26
Day Change $,-2.53
Day Change %,-0.0118
Day High,214.47
Day Low,210.65
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",7.0
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.309
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,447.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.54
Prev Close,213.79
Shares Outstanding,2.1B
Short Interest,0.0245
Today's Open,212.26
Volume,10229683.0
Volume 10-day Avg,6724040.0
Volume Past Day,(Heavy Day)
