,XMTR
Price/Earnings (TTM),
Price/Sales (TTM),5.42737
Price/Book (MRQ),5.13235
Price/Cash Flow (TTM),
5yr Low,26.61
5yr High,97.57
5yr Avg Return,-0.2311
Short Int Current Month,5586271.0
Short Int Prev Month,6010456.0
Short Int Pct of Float,0.13919420000000002
Days to Cover,6.72866
Float,37.43302
Shares Outstanding,44.76394
Institutions Holding Shares,199.0
% Held by Institutions,0.9398430000000001
FCF Growth 5yr,0.07586598991166286
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
