,XMTR
% Above Low,0.546
% Held by Institutions,0.9398000000000001
52-Wk Range,['26.61 - 64.35']
Annual Dividend $,
Annual Dividend %,
Ask,41.15
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,39.5
Bid Size,100.0
Closing Price,41.14
Day Change $,-1.29
Day Change %,-0.0304
Day High,43.14
Day Low,41.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.54
Ex-dividend Date,No dividend
Historical Volatility,0.7270000000000001
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,2.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,42.43
Shares Outstanding,47.4M
Short Interest,0.1392
Today's Open,42.64
Volume,362236.0
Volume 10-day Avg,467450.0
Volume Past Day,(Light)
