,DAVA
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.24726315789473685
Growth 1yr High Est,0.25923613279217395
Growth 1yr Consensus Est,0.2532496453434554
Growth 2yr Low Est,0.20806908422207515
Growth 2yr High Est,0.3923866614374093
Growth 2yr Consensus Est,0.3002278728297422
Growth 5yr Low Est,0.20806908422207515
Growth 5yr High Est,0.3923866614374093
Growth 5yr Consensus Est,0.3002278728297422
Growth 5yr Actual/Est,0.3185902046592671
Growth 3yr Historic,0.19615384615384618
