,DAVA
% Above Low,0.20940000000000003
% Held by Institutions,0.7254
52-Wk Range,['61.55 - 170.88']
Annual Dividend $,
Annual Dividend %,
Ask,84.1
Ask Size,400.0
B/A Ratio,0.75
B/A Size,300x400
Beta,1.2
Bid,62.99
Bid Size,300.0
Closing Price,74.44
Day Change $,-0.19
Day Change %,-0.0025
Day High,75.16
Day Low,73.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.96
Ex-dividend Date,No dividend
Historical Volatility,0.622
Last (size),30.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",37.94
Prev Close,74.63
Shares Outstanding,56.8M
Short Interest,0.0125
Today's Open,74.14
Volume,53168.0
Volume 10-day Avg,346718.0
Volume Past Day,(Light)
