,RDN
% Above Low,0.0804
% Held by Institutions,0.9706999999999999
52-Wk Range,['17.97 - 24.84']
Annual Dividend $,0.8
Annual Dividend %,0.0414
Ask,19.42
Ask Size,400.0
B/A Ratio,1.25
B/A Size,500x400
Beta,1.2
Bid,19.41
Bid Size,500.0
Day Change $,0.095
Day Change %,0.0049
Day High,19.45
Day Low,19.23
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",4.42
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.292
Last (size),100.0
Last (time),12:27p ET 11/28/22
Market Cap,3.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",4.37
Prev Close,19.32
Price,19.42
Shares Outstanding,157.0M
Short Interest,0.0359
Today's Open,19.26
Volume Past Day,(Light)
