,WMT
% Below High,0.0452
% Held by Institutions,0.3106
52-Wk Range,['117.27 - 160.77']
Annual Dividend $,2.24
Annual Dividend %,0.0146
Ask,154.06
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.5
Bid,153.52
Bid Size,1000.0
Closing Price,153.51
Day Change $,0.44
Day Change %,0.0029
Day High,154.64
Day Low,152.72
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",3.24
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.27399999999999997
Last (size),26.0
Last (time),7:00p ET 11/28/22
Market Cap,416.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",47.3
Prev Close,153.07
Shares Outstanding,2.7B
Short Interest,0.0084
Today's Open,152.72
Volume,5893321.0
Volume 10-day Avg,8818386.0
Volume Past Day,(Light)
