,WMT
Price/Earnings (TTM),47.29872
Price/Sales (TTM),0.69232
Price/Book (MRQ),5.75019
Price/Cash Flow (TTM),20.81922
5yr Low,81.78
5yr High,160.77
5yr Avg Return,0.08868333333333334
EPS Growth 5yr,0.021438199999999998
Revenue Growth 5yr,0.0334491
Dividend Growth 5yr,0.0192449
Short Int Current Month,11807965.0
Short Int Prev Month,12223901.0
Short Int Pct of Float,0.0084323
Days to Cover,1.54622
Float,1400.71
Shares Outstanding,2714.238
Institutions Holding Shares,3150.0
% Held by Institutions,0.310552
FCF Growth 5yr,-0.5745130183978525
