,SOVO
Price/Earnings (TTM),
Price/Sales (TTM),1.78732
Price/Book (MRQ),2.88339
Price/Cash Flow (TTM),142.6876
5yr Low,9.52
5yr High,17.41
5yr Avg Return,-0.0212
Short Int Current Month,1635874.0
Short Int Prev Month,1660957.0
Short Int Pct of Float,0.0441543
Days to Cover,4.36119
Float,90.74818
Shares Outstanding,100.962
Institutions Holding Shares,135.0
% Held by Institutions,0.919384
FCF Growth 5yr,0.3900348941378093
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
