,ATGE
Price/Earnings (TTM),37.47991
Price/Sales (TTM),1.26092
Price/Book (MRQ),1.21273
Price/Cash Flow (TTM),9.32565
5yr Low,19.14
5yr High,58.8
5yr Avg Return,0.023816666666666663
EPS Growth 5yr,
Revenue Growth 5yr,0.0280544
Dividend Growth 5yr,
Short Int Current Month,1455829.0
Short Int Prev Month,2005343.0
Short Int Pct of Float,0.032723499999999996
Days to Cover,3.13529
Float,44.49921
Shares Outstanding,45.40465
Institutions Holding Shares,253.0
% Held by Institutions,1.0275320000000001
FCF Growth 5yr,-3.281061850027367
