,ATGE
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.24921135646687698
Growth 1yr High Est,0.2553846153846153
Growth 1yr Consensus Est,0.25229798592574615
Growth 2yr Low Est,0.1687975974253576
Growth 2yr High Est,0.1607805429864253
Growth 2yr Consensus Est,0.16478907020589145
Growth 5yr Low Est,0.17266238697626707
Growth 5yr High Est,0.15588680665990662
Growth 5yr Consensus Est,0.16427459681808684
Growth 5yr Actual/Est,0.17730673004050923
Growth 3yr Historic,0.09856646650182505
