,ATGE
% Below High,0.0913
% Held by Institutions,1.0275
52-Wk Range,['19.14 - 44.40']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,40.0
Bid Size,
Closing Price,40.34
Day Change $,-0.13
Day Change %,-0.0032
Day High,40.86
Day Low,40.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.08
Ex-dividend Date,No dividend
Historical Volatility,0.43200000000000005
Last (size),21.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",37.48
Prev Close,40.47
Shares Outstanding,45.4M
Short Interest,0.0327
Today's Open,40.1
Volume,67288.0
Volume 10-day Avg,293227.0
Volume Past Day,(Light)
