,LYFT
Price/Earnings (TTM),
Price/Sales (TTM),1.03361
Price/Book (MRQ),5.25232
Price/Cash Flow (TTM),
5yr Low,10.43
5yr High,88.6
5yr Avg Return,-0.31205
EPS Growth 5yr,
Revenue Growth 5yr,0.5635844999999999
Dividend Growth 5yr,
Short Int Current Month,49434324.0
Short Int Prev Month,53371868.0
Short Int Pct of Float,0.1558544
Days to Cover,1.92324
Float,317.4372
Shares Outstanding,360.9348
Institutions Holding Shares,599.0
% Held by Institutions,0.796801
FCF Growth 5yr,0.17095028973482015
