,LYFT
% Above Low,0.0681
% Held by Institutions,0.7968000000000001
52-Wk Range,['10.43 - 46.64']
Annual Dividend $,
Annual Dividend %,
Ask,11.0
Ask Size,300.0
Ask close,11.8
B/A Ratio,1.0
B/A Size,300x300
Beta,1.6
Bid,10.8
Bid Size,300.0
Bid close,10.36
Change Since Close,-0.16| |(-1.44%)
Closing Price,11.14
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.66
Ex-dividend Date,No dividend
Historical Volatility,0.8590000000000001
Last (size),2.0
Last (time),1:00p ET 11/25/22
Last Trade,10.98
Market Cap,4.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,11.14
Shares Outstanding,360.9M
Short Interest,0.1559
Today's Open,
Volume,337.0
Volume 10-day Avg,16494437.0
Volume Past Day,(Light)
