,LITE
Price/Earnings (TTM),35.30371
Price/Sales (TTM),2.14998
Price/Book (MRQ),2.4945
Price/Cash Flow (TTM),12.73021
5yr Low,37.0
5yr High,112.08
5yr Avg Return,0.07141666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.11324899999999999
Dividend Growth 5yr,
Short Int Current Month,6200794.0
Short Int Prev Month,7346610.0
Short Int Pct of Float,0.0914185
Days to Cover,3.20414
Float,67.84988
Shares Outstanding,68.2
Institutions Holding Shares,574.0
% Held by Institutions,1.000686
FCF Growth 5yr,-0.14718055739101063
