,LITE
% Above Low,0.0263
% Held by Institutions,1.0007
52-Wk Range,['54.40 - 108.90']
Annual Dividend $,
Annual Dividend %,
Ask,74.99
Ask Size,100.0
Ask close,59.71
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,47.0
Bid Size,100.0
Bid close,52.81
Change Since Close,0.00| |(0.00%)
Closing Price,55.83
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.58
Ex-dividend Date,No dividend
Historical Volatility,0.45
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,55.83
Market Cap,3.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",35.3
Prev Close,55.83
Shares Outstanding,68.2M
Short Interest,0.09140000000000001
Today's Open,
Volume,2.0
Volume 10-day Avg,1275557.0
Volume Past Day,(Light)
