,ACHR
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.07478
Price/Cash Flow (TTM),
5yr Low,2.3
5yr High,18.6
5yr Avg Return,-0.3310333333333333
Short Int Current Month,11777960.0
Short Int Prev Month,11965247.0
Short Int Pct of Float,0.09065
Days to Cover,9.33712
Float,129.864
Shares Outstanding,243.2948
Institutions Holding Shares,139.0
% Held by Institutions,0.3871
FCF Growth 5yr,0.39358813700918976
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
