,ACHR
% Above Low,0.0913
% Held by Institutions,0.3871
52-Wk Range,['2.30 - 7.81']
Annual Dividend $,
Annual Dividend %,
Ask,2.57
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,2.33
Bid Size,100.0
Closing Price,2.51
Day Change $,0.02
Day Change %,0.008
Day High,2.52
Day Low,2.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.11
Ex-dividend Date,No dividend
Historical Volatility,0.895
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,610.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.49
Shares Outstanding,243.3M
Short Interest,0.0907
Today's Open,2.45
Volume,321139.0
Volume 10-day Avg,1429122.0
Volume Past Day,(Light)
