,BIRD
% Above Low,0.132
% Held by Institutions,0.5159
52-Wk Range,['2.50 - 20.34']
Annual Dividend $,
Annual Dividend %,
Ask,2.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,2.83
Bid Size,100.0
Closing Price,2.83
Day Change $,0.04
Day Change %,0.0143
Day High,2.88
Day Low,2.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.59
Ex-dividend Date,No dividend
Historical Volatility,0.871
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,422.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.79
Shares Outstanding,149.4M
Short Interest,0.0851
Today's Open,2.8
Volume,475238.0
Volume 10-day Avg,1875026.0
Volume Past Day,(Light)
