,BIRD
Price/Earnings (TTM),
Price/Sales (TTM),1.35991
Price/Book (MRQ),1.27168
Price/Cash Flow (TTM),
5yr Low,2.5
5yr High,32.44
5yr Avg Return,-0.5531999999999999
Short Int Current Month,8129687.0
Short Int Prev Month,9441625.0
Short Int Pct of Float,0.08514300000000001
Days to Cover,3.91657
Float,95.46764
Shares Outstanding,149.3531
Institutions Holding Shares,186.0
% Held by Institutions,0.515876
FCF Growth 5yr,0.21101774384591832
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
