,BIRD
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.1466666666666666
Growth 1yr High Est,-0.14516129032258063
Growth 1yr Consensus Est,-0.14591397849462362
Growth 2yr Low Est,-0.1436458333333333
Growth 2yr High Est,-0.289561777236762
Growth 2yr Consensus Est,-0.21660380528504766
Growth 5yr Low Est,-0.1436458333333333
Growth 5yr High Est,-0.289561777236762
Growth 5yr Consensus Est,-0.21660380528504766
Growth 5yr Actual/Est,-0.17692307692307696
Growth 3yr Historic,0.0
