,ANIK
Price/Earnings (TTM),
Price/Sales (TTM),2.90785
Price/Book (MRQ),1.55535
Price/Cash Flow (TTM),
5yr Low,19.95
5yr High,75.72
5yr Avg Return,-0.05466666666666666
EPS Growth 5yr,-0.33382890000000004
Revenue Growth 5yr,0.07410040000000001
Dividend Growth 5yr,
Short Int Current Month,957143.0
Short Int Prev Month,987086.0
Short Int Pct of Float,0.0668132
Days to Cover,8.0552
Float,14.32716
Shares Outstanding,14.60967
Institutions Holding Shares,184.0
% Held by Institutions,0.879527
FCF Growth 5yr,-0.9461643449527605
