,ANIK
% Above Low,0.5207
% Held by Institutions,0.8795000000000001
52-Wk Range,['19.95 - 41.19']
Annual Dividend $,
Annual Dividend %,
Ask,48.72
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.0
Bid,30.32
Bid Size,300.0
Closing Price,30.34
Day Change $,-0.11
Day Change %,-0.0036
Day High,30.92
Day Low,30.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.09
Ex-dividend Date,No dividend
Historical Volatility,0.44
Last (size),7.0
Last (time),12:59p ET 11/25/22
Market Cap,445.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,30.45
Shares Outstanding,14.6M
Short Interest,0.0668
Today's Open,30.67
Volume,16356.0
Volume 10-day Avg,89655.0
Volume Past Day,(Light)
