,NMRK
% Above Low,0.1396
% Held by Institutions,0.6485
52-Wk Range,['7.42 - 19.10']
Annual Dividend $,0.12
Annual Dividend %,0.014199999999999999
Ask,8.79
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.8
Bid,8.0
Bid Size,400.0
Closing Price,8.45
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",1.16
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.504
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.31
Prev Close,8.45
Shares Outstanding,171.8M
Short Interest,0.021400000000000002
Today's Open,
Volume,342095.0
Volume 10-day Avg,877970.0
Volume Past Day,(Light)
