,NMRK
Price/Earnings (TTM),7.31057
Price/Sales (TTM),0.47103
Price/Book (MRQ),1.25396
Price/Cash Flow (TTM),3.96567
5yr Low,2.49
5yr High,19.1
5yr Avg Return,0.15380000000000002
EPS Growth 5yr,0.2885592
Revenue Growth 5yr,0.1657534
Dividend Growth 5yr,
Short Int Current Month,2952177.0
Short Int Prev Month,4077545.0
Short Int Pct of Float,0.021411799999999998
Days to Cover,2.32985
Float,137.8761
Shares Outstanding,171.8399
Institutions Holding Shares,275.0
% Held by Institutions,0.64848
FCF Growth 5yr,-2.9309591127104575
