,INT
Price/Earnings (TTM),16.26424
Price/Sales (TTM),0.0317
Price/Book (MRQ),0.90024
Price/Cash Flow (TTM),8.26662
5yr Low,18.36
5yr High,44.37
5yr Avg Return,0.07621666666666667
EPS Growth 5yr,-0.0846946
Revenue Growth 5yr,0.0301202
Dividend Growth 5yr,0.19300799999999999
Short Int Current Month,1385745.0
Short Int Prev Month,1677783.0
Short Int Pct of Float,0.0231864
Days to Cover,3.75183
Float,59.82465
Shares Outstanding,61.91908
Institutions Holding Shares,307.0
% Held by Institutions,0.9334310000000001
FCF Growth 5yr,-1.831153222650791
