,INT
% Below High,0.0365
% Held by Institutions,0.9334
52-Wk Range,['19.29 - 29.28']
Annual Dividend $,0.56
Annual Dividend %,0.0199
Ask,30.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,21.0
Bid Size,200.0
Closing Price,28.21
Day Change $,0.12
Day Change %,0.0043
Day High,28.56
Day Low,28.0
Dividend Pay Date,2022-10-07 00:00:00
"EPS (TTM, GAAP)",1.73
Ex-dividend,2022-09-22 00:00:00
Ex-dividend Date,09/22/22
Historical Volatility,0.45799999999999996
Last (size),29.0
Last (time),5:00p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.26
Prev Close,28.09
Shares Outstanding,61.9M
Short Interest,0.0232
Today's Open,28.01
Volume,154302.0
Volume 10-day Avg,302414.0
Volume Past Day,(Light)
