,INT
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.47727272727272707
Growth 1yr High Est,0.4888888888888887
Growth 1yr Consensus Est,0.4830808080808079
Growth 2yr Low Est,0.2642773892773892
Growth 2yr High Est,0.4235489220563847
Growth 2yr Consensus Est,0.34391315566688696
Growth 5yr Low Est,0.2642773892773892
Growth 5yr High Est,0.4235489220563847
Growth 5yr Consensus Est,0.34391315566688696
Growth 5yr Actual/Est,0.0644370338980933
Growth 3yr Historic,-0.1013012311048776
