,WOR
Price/Earnings (TTM),9.18756
Price/Sales (TTM),0.5085
Price/Book (MRQ),1.81804
Price/Cash Flow (TTM),6.58523
5yr Low,19.28
5yr High,75.45
5yr Avg Return,0.06124999999999999
EPS Growth 5yr,0.1873619
Revenue Growth 5yr,0.11704650000000001
Dividend Growth 5yr,0.0723046
Short Int Current Month,1626454.0
Short Int Prev Month,1763051.0
Short Int Pct of Float,0.0533812
Days to Cover,9.55911
Float,30.49324
Shares Outstanding,49.71133
Institutions Holding Shares,285.0
% Held by Institutions,0.459029
FCF Growth 5yr,-1.493571382580461
