,VBTX
Price/Earnings (TTM),11.67894
Price/Sales (TTM),4.53289
Price/Book (MRQ),1.25143
Price/Cash Flow (TTM),10.66868
5yr Low,10.02
5yr High,45.36
5yr Avg Return,0.06381666666666665
EPS Growth 5yr,0.1955368
Revenue Growth 5yr,0.46690669999999995
Dividend Growth 5yr,
Short Int Current Month,1541581.0
Short Int Prev Month,1404555.0
Short Int Pct of Float,0.0295235
Days to Cover,5.94521
Float,52.22313
Shares Outstanding,54.00512
Institutions Holding Shares,289.0
% Held by Institutions,0.884573
FCF Growth 5yr,0.10907250306092069
