,VBTX
% Above Low,0.2211
% Held by Institutions,0.8845999999999999
52-Wk Range,['26.14 - 43.33']
Annual Dividend $,0.8
Annual Dividend %,0.024399999999999998
Ask,32.33
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,31.76
Bid Size,100.0
Closing Price,31.92
Day Change $,-0.81
Day Change %,-0.024700000000000003
Day High,32.56
Day Low,31.76
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",2.8
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.342
Last (size),3.0
Last (time),3:59p ET 11/28/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",11.68
Prev Close,32.73
Shares Outstanding,54.0M
Short Interest,0.029500000000000002
Today's Open,32.55
Volume,169821.0
Volume 10-day Avg,189212.0
Volume Past Day,(Average)
