,KMI
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.10569105691056901
Growth 1yr High Est,-0.09352517985611508
Growth 1yr Consensus Est,-0.09960811838334205
Growth 2yr Low Est,-0.08011825572801179
Growth 2yr High Est,-0.07057211373758138
Growth 2yr Consensus Est,-0.07534518473279658
Growth 5yr Low Est,0.09900362289831155
Growth 5yr High Est,0.07766338133345646
Growth 5yr Consensus Est,0.08833350211588399
Growth 5yr Actual/Est,0.06981039982401141
Growth 3yr Historic,0.10657894736842105
