,KMI
% Below High,0.07769999999999999
% Held by Institutions,0.6009
52-Wk Range,['15.01 - 20.20']
Annual Dividend $,1.11
Annual Dividend %,0.0596
Ask,18.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,18.6
Bid Size,100.0
Closing Price,18.63
Day Change $,-0.02
Day Change %,-0.0011
Day High,18.78
Day Low,18.59
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",1.1
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.276
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,41.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.86
Prev Close,18.65
Shares Outstanding,2.2B
Short Interest,0.02
Today's Open,18.7
Volume,5981404.0
Volume 10-day Avg,13958703.0
Volume Past Day,(Light)
