,ACIW
Price/Earnings (TTM),15.16658
Price/Sales (TTM),1.63448
Price/Book (MRQ),1.97453
Price/Cash Flow (TTM),8.08987
5yr Low,19.68
5yr High,43.23
5yr Avg Return,0.01426666666666667
EPS Growth 5yr,-0.002371
Revenue Growth 5yr,0.0638692
Dividend Growth 5yr,
Short Int Current Month,2732511.0
Short Int Prev Month,3286517.0
Short Int Pct of Float,0.024597099999999997
Days to Cover,1.94772
Float,111.1683
Shares Outstanding,112.3741
Institutions Holding Shares,364.0
% Held by Institutions,0.984964
FCF Growth 5yr,0.3826412341115315
